"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"군포시","농림어업","중간소비","","914","981","1001","1044","965","1071","856",
"군포시","농림어업","지역내총부가가치(당해년가격)","","1071","1157","1091","959","930","1030","743",
"군포시","농림어업","고정자본소모","","171","183","184","183","182","217","162",
"군포시","농림어업","지역내순생산","","900","973","907","776","749","814","581",
"군포시","농림어업","기타생산세(기타생산보조금 공제)","","165","156","143","149","146","149","106",
"군포시","농림어업","지역내요소소득","","735","818","764","626","603","665","475",
"군포시","농림어업","2010년 기준년 고정가격_산출액","","1955","2078","2058","2048","1862","1982","1599",
"군포시","농림어업","2010년 기준년 고정가격_지역내","","888","949","951","919","852","946","743",
"군포시","광업","산출액(당해년가격)","","-","-","-","-","-","-","-",
"군포시","광업","중간소비","","-","-","-","-","-","-","-",
"군포시","광업","지역내총부가가치(당해년가격)","","-","-","-","-","-","-","-",
"군포시","광업","고정자본소모","","-","-","-","-","-","-","-",
"군포시","광업","지역내순생산","","-","-","-","-","-","-","-",
"군포시","광업","기타생산세(기타생산보조금 공제)","","-","-","-","-","-","-","-",
"군포시","광업","지역내요소소득","","-","-","-","-","-","-","-",
"군포시","광업","2010년 기준년 고정가격_산출액","","-","-","-","-","-","-","-",
"군포시","광업","2010년 기준년 고정가격_지역내","","-","-","-","-","-","-","-",
"군포시","제조업","산출액(당해년가격)","","4731868","4785251","4809274","4726004","4264693","5914848","5458273",
"군포시","제조업","중간소비","","3335310","3413656","3488343","3442886","3216156","4491312","4043332",
"군포시","제조업","지역내총부가가치(당해년가격)","","1396558","1371595","1320931","1283118","1048538","1423536","1414942",
"군포시","제조업","고정자본소모","","414768","417157","401251","359203","295514","398314","419721",
"군포시","제조업","지역내순생산","","981790","954438","919680","923916","753023","1025222","995221",
"군포시","제조업","기타생산세(기타생산보조금 공제)","","11232","10733","9983","10036","8953","11943","10673",
"군포시","제조업","지역내요소소득","","970557","943705","909697","913880","744070","1013279","984548",
"군포시","제조업","2010년 기준년 고정가격_산출액","","5510390","5250071","5277629","4894989","4414638","6006558","5458273",
"군포시","제조업","2010년 기준년 고정가격_지역내","","1385888","1329201","1332945","1230198","1092855","1496325","1414942",
"군포시","전기, 가스, 증기 및 수도사업","산출액(당해년가격)","","225101","254780","286363","530415","543741","489872","366197",
"군포시","전기, 가스, 증기 및 수도사업","중간소비","","134131","162255","207729","430736","445706","398644","283945",
"군포시","전기, 가스, 증기 및 수도사업","지역내총부가가치(당해년가격)","","90970","92525","78634","99680","98035","91228","82251",
"군포시","전기, 가스, 증기 및 수도사업","고정자본소모","","37612","39901","37678","53060","55557","55819","44013",
"군포시","전기, 가스, 증기 및 수도사업","지역내순생산","","53357","52623","40957","46619","42478","35409","38238",
"군포시","전기, 가스, 증기 및 수도사업","기타생산세(기타생산보조금 공제)","","378","405","291","313","316","342","278",
"군포시","전기, 가스, 증기 및 수도사업","지역내요소소득","","52979","52218","40666","46306","42161","35067","37960",
"군포시","전기, 가스, 증기 및 수도사업","2010년 기준년 고정가격_산출액","","212992","221053","226543","424397","446289","444633","366197",
"군포시","전기, 가스, 증기 및 수도사업","2010년 기준년 고정가격_지역내","","52216","56770","60658","83604","93924","95949","82251",
"군포시","건설업","산출액(당해년가격)","","1195462","1110368","1163663","1070938","1065315","1204326","1488865",
"군포시","건설업","중간소비","","764822","715934","766164","715973","719336","822909","1012393",
"군포시","건설업","지역내총부가가치(당해년가격)","","430640","394434","397500","354965","345979","381418","476472",
"군포시","건설업","고정자본소모","","32341","32729","35535","31842","31694","35383","42016",
"군포시","건설업","지역내순생산","","398299","361705","361965","323123","314284","346035","434456",
"군포시","건설업","기타생산세(기타생산보조금 공제)","","2205","2314","2361","2254","2170","2249","2221",
"군포시","건설업","지역내요소소득","","396094","359391","359603","320869","312114","343786","432235",
"군포시","건설업","2010년 기준년 고정가격_산출액","","1101782","1017393","1061272","987697","986748","1138384","1488865",
