,지역별,경제활동별,항목,2016,2015,2014,2013,2012,2011,2010
1881,구리시,건설업,산출액(당해년가격),1268247,1096826,490000,530647,685996,758361,911300
1890,구리시,도매 및 소매업,산출액(당해년가격),892800,846247,861127,831695,867552,765473,710952
1899,구리시,운수업,산출액(당해년가격),377060,350149,374098,353761,331187,327820,246835
1908,구리시,숙박 및 음식점업,산출액(당해년가격),375165,345774,349812,345116,342160,321427,294764
1917,구리시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),294102,300078,350782,321434,292029,266338,375832
1926,구리시,금융 및 보험업,산출액(당해년가격),795974,790315,718472,688321,696074,663866,610605
1935,구리시,부동산 및 임대업,산출액(당해년가격),559371,497654,542074,532147,451996,464003,372741
1944,구리시,사업서비스업,산출액(당해년가격),523572,450928,407922,402312,395109,295010,321958
1953,구리시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),435118,463732,452212,498332,462973,382674,306975
1962,구리시,교육서비스업,산출액(당해년가격),302477,300604,302537,321739,214722,176436,207550
1971,구리시,보건 및 사회복지사업,산출액(당해년가격),424610,399971,362389,364793,353131,290950,295961
1980,구리시,문화 및 기타서비스업,산출액(당해년가격),381619,369426,363345,335916,328976,293570,285138
1989,남양주시,총부가가치(기초가격),산출액(당해년가격),16740870,15894706,14041664,13908177,12384718,11686557,10105448
1998,남양주시,농림어업,산출액(당해년가격),68689,69255,75309,68813,63289,68423,71566
2007,남양주시,광업,산출액(당해년가격),13789,12010,11758,9776,8622,6330,5286
2016,남양주시,제조업,산출액(당해년가격),3637219,3338734,2990538,2643358,2543584,2737814,2301818
2025,남양주시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),854006,902363,609326,1033157,991841,665680,328359
2034,남양주시,건설업,산출액(당해년가격),2027250,1750533,1368350,1299012,1107709,1331571,982986
2043,남양주시,도매 및 소매업,산출액(당해년가격),2137406,1937373,1754908,1622839,1463302,1323259,1196749
2052,남양주시,운수업,산출액(당해년가격),948377,901750,838685,834889,825819,754742,694101
2061,남양주시,숙박 및 음식점업,산출액(당해년가격),823065,787024,734209,686373,644172,613554,575203
2070,남양주시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),441267,425284,458321,419262,372710,307145,305420
2079,남양주시,금융 및 보험업,산출액(당해년가격),452415,435790,426329,453016,444588,426446,338307
2088,남양주시,부동산 및 임대업,산출액(당해년가격),1365641,1690273,1264062,1328773,1213296,1108807,1108342
2097,남양주시,사업서비스업,산출액(당해년가격),427743,355809,342813,406376,376781,282792,277711
2106,남양주시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),688991,591432,641022,701877,669728,538699,517406
2115,남양주시,교육서비스업,산출액(당해년가격),933746,891225,840747,810217,204761,169128,179026
2124,남양주시,보건 및 사회복지사업,산출액(당해년가격),1107946,1005774,905164,855496,781089,719997,631180
2133,남양주시,문화 및 기타서비스업,산출액(당해년가격),813320,800079,780123,734944,673426,632169,591988
2142,오산시,총부가가치(기초가격),산출액(당해년가격),12459840,11762608,11439868,10753225,10564890,6654665,5759652
2151,오산시,농림어업,산출액(당해년가격),9822,12204,11854,10015,9146,12931,8170
2160,오산시,광업,산출액(당해년가격),0,0,0,0,0,0,0
2169,오산시,제조업,산출액(당해년가격),7251989,6994574,6713454,6408141,6580582,2915661,2220236
2178,오산시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),138759,139281,147490,186798,177465,151912,234923
2187,오산시,건설업,산출액(당해년가격),801877,574561,559076,474472,429894,573697,550712
2196,오산시,도매 및 소매업,산출액(당해년가격),604192,558573,515842,505637,473407,476178,406788
2205,오산시,운수업,산출액(당해년가격),365392,359296,360583,330509,313585,289235,274010
2214,오산시,숙박 및 음식점업,산출액(당해년가격),355277,325340,330787,306431,297034,282974,250527
2223,오산시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),135141,129598,174111,149071,129206,113205,85661
2232,오산시,금융 및 보험업,산출액(당해년가격),240905,249820,235047,241902,248026,231561,194812
2241,오산시,부동산 및 임대업,산출액(당해년가격),344404,368935,378810,321837,295832,296268,227926
2250,오산시,사업서비스업,산출액(당해년가격),743142,700394,692170,568926,514178,299463,328193
2259,오산시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),328218,244754,310022,292449,272057,319032,288560
2268,오산시,교육서비스업,산출액(당해년가격),415834,442841,397589,383555,279429,179099,211569
2277,오산시,보건 및 사회복지사업,산출액(당해년가격),412352,363812,318084,298641,282041,269552,246535
2286,오산시,문화 및 기타서비스업,산출액(당해년가격),312539,298623,294951,274841,263009,243898,231030
2295,시흥시,총부가가치(기초가격),산출액(당해년가격),27168852,26882264,26800682,25982111,26088873,26134198,23089716
2304,시흥시,농림어업,산출액(당해년가격),73079,57095,62757,46522,41432,40027,23534
2313,시흥시,광업,산출액(당해년가격),0,0,31,0,0,0,0
2322,시흥시,제조업,산출액(당해년가격),16613595,16927498,17088791,16420862,16749569,18007688,15620753
2331,시흥시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),219606,214527,271635,541946,516279,267979,298821
2340,시흥시,건설업,산출액(당해년가격),1845289,1518234,1371584,1023201,1045233,1023556,892839
2349,시흥시,도매 및 소매업,산출액(당해년가격),1828462,1740967,1707020,1642907,1720360,1544768,1400074
2358,시흥시,운수업,산출액(당해년가격),775513,786665,749886,711986,720836,654296,599134
2367,시흥시,숙박 및 음식점업,산출액(당해년가격),677500,626015,631442,604021,613427,579332,527701
2376,시흥시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),380481,387069,414794,395970,368617,314604,312147
2385,시흥시,금융 및 보험업,산출액(당해년가격),465734,435566,403446,400238,411936,429484,313700
2394,시흥시,부동산 및 임대업,산출액(당해년가격),997289,970499,954180,895408,869900,830672,891239
2403,시흥시,사업서비스업,산출액(당해년가격),713021,749176,630559,885899,828744,497448,451460
2412,시흥시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),634803,596501,682980,643387,632629,584070,498812
2421,시흥시,교육서비스업,산출액(당해년가격),613046,611483,602654,599943,450380,297507,291033
2430,시흥시,보건 및 사회복지사업,산출액(당해년가격),733819,683430,641161,620141,563560,556149,495986
2439,시흥시,문화 및 기타서비스업,산출액(당해년가격),597615,577539,587764,549681,555971,506618,472481
2448,군포시,총부가가치(기초가격),산출액(당해년가격),12941580,12549620,12662657,12502246,11851448,13374571,12730743
2457,군포시,농림어업,산출액(당해년가격),1985,2138,2092,2003,1896,2101,1599
2466,군포시,광업,산출액(당해년가격),0,0,0,0,0,0,0
2475,군포시,제조업,산출액(당해년가격),4731868,4785251,4809274,4726004,4264693,5914848,5458273
2484,군포시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),225101,254780,286363,530415,543741,489872,366197
2493,군포시,건설업,산출액(당해년가격),1195462,1110368,1163663,1070938,1065315,1204326,1488865
2502,군포시,도매 및 소매업,산출액(당해년가격),816249,731138,711435,755628,779876,718490,651231
2511,군포시,운수업,산출액(당해년가격),928390,869841,890212,815997,719789,841947,786321
2520,군포시,숙박 및 음식점업,산출액(당해년가격),378106,335307,331147,330575,321740,323635,279176
2529,군포시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),561709,521421,460882,428579,381187,372084,374935
2538,군포시,금융 및 보험업,산출액(당해년가격),200486,217672,213720,230906,235484,241978,268143
2547,군포시,부동산 및 임대업,산출액(당해년가격),743262,699343,705047,720150,671121,649604,494923
2556,군포시,사업서비스업,산출액(당해년가격),1278692,1226440,1327807,1162235,1093188,964246,959278
2565,군포시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),400817,390305,396268,383693,365562,311846,274794
2574,군포시,교육서비스업,산출액(당해년가격),508482,486995,487239,491107,594092,576683,618398
2583,군포시,보건 및 사회복지사업,산출액(당해년가격),513753,461742,447905,448880,404486,369698,342023
2592,군포시,문화 및 기타서비스업,산출액(당해년가격),457217,456882,429602,405135,409276,393213,366587
2601,의왕시,총부가가치(기초가격),산출액(당해년가격),6214343,5869726,5375386,5233327,4965462,6618882,5499771
