시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
안성시,183405,0.06,0.1,50,500,8509106.0,66.5,0.6423708450140169,0.17868108396742755,0.20771592577759976,0.09110933119743693,0.4163172250946546,0.1032548955746448,0.04668607254814151,0.10741217119366472,1.002,156213560,64859,0.015912566386184754,0.0004151944299841832,0.18053935399343765,0.1719198037041081,0.2410198651902335,0.2434908029398413,0.1630301741723795
김포시,437221,0.0,0.0,0,0,28981268.0,63.4,0.5723434761828899,0.2960331368488131,0.20605384737932134,0.0763740640433328,0.446296990889182,0.1373277353627993,0.0411983206088398,0.0307789600358566,1.016,101933117,140325,0.034427463854536385,0.0013766379772336404,0.2232490936025886,0.15922624848933764,0.28996920198042964,0.20790612451756266,0.11964933141008148
화성시,815396,0.06,0.1,50,600,22496907.0,68.2,0.551696,0.305056,0.18699200000000002,0.083136,0.5056507299357275,0.08825260706846258,0.0317344471885365,0.037511316414959736,1.199,317786985,258263,0.06336248065180211,0.0008126921875041548,0.245333933280968,0.18746326187714246,0.3033814678603197,0.1805291850248909,0.08329215195667893
광주시,372654,0.06,0.0,40,400,7557041.0,62.5,0.5706053975200583,0.2402261123267688,0.22184536834427426,0.12231947483588622,0.35294117647058826,0.17415241958852504,0.07637641263401912,0.02491523864127011,1.043,172259487,115372,0.02830547201015908,0.0006697570160533452,0.1885698304252781,0.17650668082167542,0.271328116527685,0.2394764929824261,0.12411887924293535
양주시,222314,0.06,0.1,50,600,8292230.0,59.9,0.5840642442191594,0.24353571021756465,0.21540038728784602,0.09482856817405172,0.3969280978626773,0.13632992137665034,0.04223294877500485,0.04317181667481605,1.03,150455382,74540,0.018287711781344324,0.0004954292695225752,0.1994569978915344,0.16214967217691856,0.2519568294068376,0.24004255442055705,0.14639394610415246
포천시,148379,0.06,0.1,30,360,2377732.0,65.7,0.5385701102003149,0.3246837848108137,0.1959719884913957,0.07344878128223223,0.4673516348263499,0.1214106063038476,0.03334938727457591,0.09499799277398636,0.889,39013035,49591,0.012166701300625792,0.001271139248715205,0.15451579404768045,0.16241834156975676,0.2045603517480612,0.2971372598119002,0.18136825282260144
여주시,111083,0.06,0.09,40,400,2898929.0,61.4,0.6863501156769858,0.12504131320921008,0.23146414013440564,0.0887958576622232,0.19583637026239067,0.14358600583090378,0.04739887026239067,0.15169624395010112,1.083,26093192,36723,0.009009654410334151,0.0014073785989847467,0.15838198988988594,0.14824248599083034,0.21231239468631216,0.2760786080959285,0.20498452133704295
연천군,43824,0.06,0.1,50,600,2183752.0,64.5,0.6951652553947009,0.10406992624965856,0.2108713466266048,0.05435673313302376,0.1891241899926515,0.10962656156055847,0.03173224664306233,0.17413955550629054,1.413,30445145,15462,0.003793461223009739,0.0005078642259710046,0.14166897698918768,0.155782947299443,0.17282052574539405,0.2753232351236233,0.254404314842352
가평군,62415,0.06,0.1,30,360,2294420.0,62.1,0.8150484012907011,0.04986799647990613,0.17263127016720445,0.035054268113816366,0.06783756491633007,0.10869878822850547,0.026904212348528564,0.1258625448523323,0.971,81889445,21820,0.00535333875863876,0.00026645680649075096,0.13643685858567575,0.13375807706926826,0.18621151514054554,0.2965483538163587,0.2470451953881518
양평군,116874,0.1,0.0,50,500,8659833.0,62.6,0.7620049504950495,0.04925742574257426,0.1993811881188119,0.06794554455445545,0.053255036954540855,0.1484593837535014,0.033714690695555334,0.13930252046670535,1.024,51198870,39985,0.009809956474068323,0.0007809742675961403,0.14796870240633567,0.12082127627170272,0.19747563204386231,0.28897921108742003,0.2447551781906793
